Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
9.083,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.30,782,0.00,0.00,3.9,0,0.00,0
9.165,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,777,0.00,0.00,3.9,0,0.00,0
9.241,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,780,0.00,0.00,3.9,0,0.00,0
9.307,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,775,0.00,0.00,3.9,0,0.00,0
9.388,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,777,0.00,0.00,3.9,0,0.00,0
9.461,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.30,784,0.00,0.00,3.9,0,0.00,0
9.528,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.30,784,0.00,0.00,3.9,0,0.00,0
9.620,0.0,99.97,-56.40,87,0.00,0.00,0,57,43.44,781,0.00,0.00,3.9,0,0.00,0
9.686,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.09,783,0.00,0.00,3.9,0,0.00,0
9.756,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.30,779,0.00,0.00,3.9,0,0.00,0
9.839,0.0,99.97,-56.74,87,0.00,0.00,0,57,43.23,776,0.00,0.00,3.9,0,0.00,0
9.910,0.0,99.97,-56.54,87,0.00,0.00,0,57,43.23,776,0.00,0.00,3.9,0,0.00,0
9.978,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.09,772,0.00,0.00,3.9,0,0.00,0
10.061,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.30,767,0.00,0.00,3.9,0,0.00,0
10.140,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,770,0.00,0.00,3.9,0,0.00,0
10.206,0.0,99.97,-56.61,87,0.00,0.00,0,57,43.23,770,0.00,0.00,3.9,0,0.00,0
